class,cap-shape,cap-surface,cap-color,stem-root,stem-surface,stem-color,habitat,season,cap-diameter,stem-height,stem-width
e,x,,u,,,w,d,a,2.6,6.69,5.41
e,x,k,n,,,n,d,a,2.97,4.68,10.14
p,c,,w,,i,w,d,u,1.54,2.24,3.2
p,s,k,n,,k,k,d,u,12.99,6.33,33.08
p,x,k,w,,,w,d,u,14.64,6.99,29.03
p,x,i,k,,,w,g,a,2.55,4.16,2.32
e,x,,w,,,r,l,u,5.06,4.92,6.94
e,x,t,y,,,w,d,u,5.89,6.4,16.14
p,f,d,b,b,i,n,l,a,3.73,4.3,3.07
p,x,s,n,r,y,n,d,u,7.25,5.1,14.4
p,x,,w,,,n,d,a,3.45,7.47,3.89
e,f,t,n,,t,o,d,a,4.06,5.89,8.12
p,x,e,n,s,,n,d,a,8.02,9.78,13.86
p,f,,o,,,y,g,a,0.94,4.7,1.04
p,x,,n,,s,n,g,u,1.31,4.43,2.32
p,s,t,k,,,g,d,a,14.82,4.81,25.05
p,x,s,y,,,y,d,s,4.47,10.48,8.04
p,s,d,e,,,n,d,a,7.54,5.93,8.21
e,x,s,n,,i,n,d,u,10.97,10.23,17.98
p,s,t,n,,t,n,d,a,7.76,4.32,11.66
p,f,d,e,,,e,d,a,8.0,6.68,10.0
p,b,,n,,,g,g,a,2.07,7.65,2.12
e,f,s,u,,,p,d,a,9.26,6.9,21.12
e,f,,l,,,w,d,a,15.42,2.68,15.43
p,b,y,w,,k,w,d,a,4.01,5.15,3.68
e,x,h,o,,,e,g,a,3.04,4.02,6.17
e,x,h,y,,,y,d,a,7.33,7.51,14.33
e,x,e,n,,,w,d,u,15.37,9.08,16.58
e,p,y,w,,s,w,g,s,10.84,16.31,11.58
e,x,s,w,s,,w,m,a,10.83,10.75,18.14
e,x,y,n,b,,n,d,w,9.62,6.51,22.76
p,x,,y,,i,y,d,a,5.9,4.68,12.55
p,f,k,n,,k,n,d,u,4.52,2.94,4.96
e,x,w,n,,,w,g,w,1.26,4.53,2.25
p,x,h,r,,,w,d,a,8.14,10.65,14.79
p,f,,n,,,n,l,u,4.12,7.88,4.27
e,f,s,w,,s,w,u,s,9.57,15.02,11.21
e,x,s,e,,,o,g,a,3.56,4.62,7.0
e,c,g,n,,,g,d,a,1.65,5.47,1.77
p,s,w,n,,,n,d,a,3.28,4.03,6.21
e,f,w,y,,,y,d,u,6.72,6.67,18.12
p,f,w,n,,,n,d,a,2.91,3.94,6.86
e,x,t,n,,,n,d,u,12.13,8.44,22.52
p,f,y,e,,y,e,d,a,9.48,6.96,17.24
e,x,,g,,,w,g,a,8.49,7.26,13.85
p,o,,e,,g,n,d,s,10.68,3.75,26.39
e,x,,b,,,w,d,u,2.46,5.85,4.05
p,x,i,e,,,e,d,a,3.78,4.36,5.6
e,f,h,o,,s,o,d,w,5.22,7.54,6.05
e,f,t,o,,s,o,d,a,4.09,5.39,4.89
p,s,,y,,,w,d,u,6.58,5.12,12.64
p,x,k,n,,,n,d,w,1.41,3.77,1.4
p,f,,u,,i,u,p,a,2.4,2.97,3.31
p,x,t,n,,,w,d,a,3.64,6.22,9.4
p,o,s,r,f,f,f,d,s,3.6,0.0,0.0
p,b,t,w,,y,w,d,u,7.68,13.01,12.86
p,f,,e,,,w,d,u,3.8,4.55,6.12
p,f,,g,,,w,d,a,12.41,11.26,16.57
p,f,d,n,,,e,d,u,6.66,6.39,9.22
p,f,t,n,,,y,g,u,1.49,8.3,3.2
p,x,h,r,,,w,d,u,8.52,11.02,15.62
p,f,w,o,,,n,d,a,2.51,2.86,5.35
p,x,t,y,,g,o,g,u,4.32,5.96,7.12
p,s,t,p,,,p,d,u,9.34,7.61,14.32
p,x,s,n,,,n,d,w,23.08,6.39,47.1
p,x,e,y,,,e,d,u,10.45,7.94,24.1
e,b,y,n,,,w,d,w,2.57,6.34,3.16
p,f,,u,,i,u,p,a,2.73,3.01,3.25
e,x,t,y,,,y,d,u,7.65,7.28,15.39
p,f,w,p,,,p,d,w,6.92,3.42,9.01
e,x,,g,,,g,g,a,8.73,7.85,15.07
p,s,,o,,,w,d,a,7.92,4.89,13.47
e,s,t,p,,,w,d,a,9.44,6.63,18.16
p,f,y,w,,k,w,d,u,3.4,4.62,3.61
e,f,,n,b,,w,d,u,11.37,13.86,22.33
p,x,,w,,,y,d,a,4.28,2.69,12.02
p,f,t,n,,,n,h,u,11.2,5.36,16.38
e,s,l,w,,,w,g,a,6.87,3.23,7.69
p,x,y,y,,y,y,d,a,8.47,10.55,11.56
p,o,l,g,f,f,f,d,w,2.37,0.0,0.0
e,s,l,w,,,w,d,u,6.05,3.26,7.62
p,x,g,o,s,y,w,d,u,16.22,18.56,18.15
p,f,,y,,,w,d,a,7.76,6.95,11.86
e,s,t,w,,,w,d,u,5.68,5.76,16.69
e,x,h,n,,y,n,d,a,6.93,5.8,6.04
p,x,d,n,,,n,d,a,7.28,7.9,9.79
p,s,,y,,,w,d,u,11.18,6.43,13.86
p,x,i,n,,i,n,d,u,8.1,8.23,7.35
e,x,,r,,,r,l,a,4.12,6.6,8.57
p,x,,n,s,,n,d,a,10.09,9.39,21.63
e,p,s,w,s,,w,m,u,8.45,7.1,16.61
p,f,,u,,,w,d,a,4.43,4.49,8.52
e,x,,n,,y,w,d,a,8.02,12.79,27.47
e,f,s,n,b,i,w,g,u,7.91,6.45,10.16
p,x,g,w,,,n,d,a,1.14,3.12,1.53
e,f,h,g,,s,g,d,u,5.01,5.8,10.68
p,x,t,e,b,,w,d,u,8.19,5.87,17.73
p,x,,n,,,w,d,a,13.21,10.96,16.36
e,f,y,n,s,,n,d,a,18.59,26.09,19.55
e,x,h,y,,,w,d,u,7.14,6.37,13.95
p,x,y,n,,y,y,d,u,9.1,9.66,12.7
p,b,y,n,s,s,w,d,u,3.6,6.08,4.51
e,f,s,n,,i,n,d,w,8.36,7.6,15.28
e,x,t,n,,,n,d,a,17.43,16.58,64.93
e,x,e,y,,,w,d,a,10.39,7.52,21.86
e,f,h,k,,s,g,d,u,6.69,5.23,10.66
p,s,t,p,,,p,d,u,11.27,9.26,18.02
e,x,i,n,,,w,w,a,4.16,3.97,11.67
e,x,h,n,,s,w,d,u,3.85,6.51,6.6
e,f,d,b,,,w,m,a,4.78,6.01,11.87
e,x,s,w,,,w,m,w,3.47,3.76,6.13
e,b,h,g,,s,g,d,a,7.22,6.76,12.42
e,x,y,e,b,,n,d,w,9.29,7.65,28.7
p,x,g,y,,,y,d,a,0.74,3.37,0.8
p,x,,n,,s,n,g,a,1.4,5.3,2.56
p,o,s,y,f,f,f,d,a,3.56,0.0,0.0
e,x,y,n,,,w,g,u,15.34,11.46,18.69
p,x,w,p,,,p,d,w,8.14,3.85,9.05
p,x,s,n,,y,n,d,w,7.49,5.29,6.82
p,f,l,e,,,n,d,a,4.51,5.71,4.86
p,x,h,n,r,g,n,d,a,6.53,16.32,8.18
e,f,s,w,s,,w,m,a,12.27,8.5,17.9
p,f,,y,,,w,d,u,7.64,6.38,11.26
p,f,w,o,,,n,d,u,3.19,3.39,5.77
e,o,l,n,,,n,l,w,3.32,5.1,33.33
p,x,e,o,r,,o,d,w,9.66,9.99,17.97
p,x,d,w,,h,w,g,u,3.18,3.87,2.59
p,s,d,o,,,y,h,a,5.37,3.92,6.52
p,c,,w,,i,u,p,u,2.3,3.65,3.46
p,x,k,n,,,n,g,u,4.23,4.25,3.6
e,x,e,l,,,w,d,a,7.97,5.84,14.27
e,f,,n,,s,w,d,a,6.81,7.26,17.89
e,f,,u,,,u,l,a,10.67,8.5,20.36
p,f,y,u,,y,y,d,a,8.91,6.86,17.09
e,f,e,b,,,w,d,a,11.74,5.58,22.05
p,c,e,y,,,w,g,u,5.79,5.19,13.02
e,b,y,n,,,w,d,s,2.97,6.38,2.68
p,x,h,n,c,,y,d,u,13.62,8.08,26.73
e,x,,w,b,,w,d,a,7.42,6.21,12.86
e,o,,n,,,n,d,a,7.63,3.47,19.16
p,f,l,e,,,n,d,u,5.06,5.5,4.85
e,s,,g,,,u,l,a,9.29,7.18,19.8
p,x,y,y,,y,n,d,u,3.61,5.73,3.71
p,x,t,n,,,n,d,a,11.16,5.68,13.33
p,p,y,g,,s,w,g,w,6.28,12.83,13.53
p,f,d,b,b,i,n,l,u,3.44,4.87,3.31
e,f,,l,,,w,d,a,9.67,2.64,14.1
p,f,s,w,,,w,g,u,2.89,2.34,6.81
e,s,,n,b,,u,g,w,8.73,7.73,20.78
e,c,,n,,,n,l,s,4.69,4.43,18.45
p,x,y,y,,y,n,g,u,3.83,5.28,3.45
e,x,d,o,s,y,w,d,a,18.45,14.68,34.28
e,x,t,g,,t,w,d,u,5.43,5.35,4.48
e,x,s,u,,,n,d,a,10.69,7.16,22.41
e,p,y,w,s,,n,d,u,16.31,23.1,19.08
e,x,d,y,,,y,d,u,5.65,7.21,14.29
p,x,g,o,,,n,d,w,13.24,5.47,37.18
e,s,t,w,,,w,d,u,22.5,9.81,27.81
p,f,t,r,,t,y,d,a,2.87,5.01,5.86
e,x,d,e,s,y,w,d,a,18.19,16.8,35.34
p,f,t,n,,i,n,g,u,3.71,5.26,3.82
p,o,s,g,f,f,f,d,s,4.09,0.0,0.0
p,f,y,y,,y,y,d,a,5.83,6.6,17.9
e,x,h,n,,y,n,d,u,5.11,6.16,6.04
p,b,y,p,,k,w,d,a,2.89,3.92,3.51
e,f,h,n,,s,w,d,u,4.4,6.46,6.5
p,f,w,r,,t,r,m,u,2.69,5.02,5.42
p,x,y,n,,y,y,d,a,7.39,11.64,11.8
p,f,d,n,b,s,n,l,a,3.42,4.3,3.24
p,f,y,e,,k,w,d,u,2.24,3.76,3.29
p,x,e,e,,,n,d,a,6.17,7.64,10.15
p,f,d,n,,,n,d,w,20.42,6.43,44.62
e,x,h,y,,,y,d,a,7.53,6.93,14.61
p,s,t,p,,,p,d,u,8.9,7.81,15.65
p,s,,e,,,e,d,u,4.9,6.0,5.36
e,x,t,n,,,n,d,a,11.96,7.46,21.85
e,x,h,n,,s,w,d,u,3.67,5.84,5.98
p,x,i,o,r,,y,d,u,9.17,13.61,23.94
p,x,k,n,,,n,g,u,3.69,3.43,2.54
p,f,,g,,,w,d,a,12.4,11.14,15.52
e,x,t,n,,,w,d,u,20.55,8.85,27.8
e,f,s,n,,i,n,d,a,7.21,9.16,12.97
p,x,d,k,,,n,d,w,17.85,5.47,40.51
p,x,,o,,,y,g,a,0.83,4.2,1.03
e,x,w,y,,,y,d,u,6.17,3.93,13.58
e,c,h,n,,s,w,d,a,6.24,13.17,13.18
e,c,,n,,,n,d,s,4.86,4.84,19.39
e,p,s,w,,s,w,u,a,7.81,24.06,12.35
e,f,s,w,,s,w,u,s,11.44,22.43,12.7
p,b,,g,,s,n,d,u,2.13,4.71,1.79
e,o,y,y,,k,k,d,u,47.15,6.36,33.39
e,x,i,n,,y,w,l,a,10.44,9.07,17.71
p,x,i,n,,i,n,d,u,7.49,8.12,8.97
e,f,,b,,,w,d,a,11.39,2.42,15.16
e,s,,y,,,y,d,a,3.35,6.3,7.1
e,x,y,g,,,w,d,u,4.79,4.23,7.56
e,f,h,n,,k,o,d,s,4.17,7.09,5.61
p,x,w,n,r,g,n,d,u,7.65,13.31,7.18
p,s,,n,,,n,d,u,5.57,6.2,5.39
p,b,y,n,s,s,w,d,a,3.32,5.53,4.27
e,x,s,k,,,w,d,u,8.38,4.25,14.36
e,s,,n,,,n,d,u,8.33,4.88,24.18
p,x,y,w,s,,w,g,u,7.9,9.43,16.16
e,s,,n,,,o,d,a,3.05,6.47,6.61
p,o,,n,,g,n,d,u,7.03,3.44,25.25
p,f,t,y,,,y,d,a,8.26,5.96,16.94
p,b,y,n,s,s,w,d,u,3.49,6.15,4.53
p,b,t,n,,,w,g,u,4.07,10.44,5.71
e,c,g,e,,,n,h,u,0.7,5.29,0.98
e,f,,p,,s,w,d,u,8.11,8.36,22.74
p,o,s,g,f,f,f,d,w,4.29,0.0,0.0
e,x,w,y,,,y,d,u,4.33,4.25,11.88
e,f,y,w,s,,n,d,a,19.3,28.18,20.98
e,f,i,n,,,w,w,u,5.97,4.86,13.45
e,x,,u,,,w,d,w,2.86,7.33,5.86
e,x,t,n,,t,o,d,w,4.43,6.11,7.73
p,p,t,n,,t,y,m,a,1.75,7.44,2.54
e,c,g,n,,,g,l,a,1.58,4.85,1.37
e,f,s,u,,,w,d,u,7.23,4.37,14.95
p,s,,n,,,n,d,u,5.91,6.65,6.16
p,o,s,y,f,f,f,d,s,4.51,0.0,0.0
p,x,y,w,s,,w,g,u,7.66,8.04,14.04
p,x,y,n,,y,n,d,a,10.09,14.37,13.4
p,b,t,w,,y,w,d,a,8.14,13.51,12.96
p,f,s,o,,,n,d,a,19.1,4.72,37.72
e,s,l,w,,,w,d,u,7.77,3.51,10.28
p,b,,k,,,n,g,a,2.81,9.56,2.67
p,x,g,o,s,y,w,d,a,17.25,17.71,18.05
p,s,d,o,,,o,d,u,6.12,4.43,6.89
e,f,e,b,,,w,d,a,8.97,5.66,21.45
e,x,h,n,,,n,d,a,9.23,7.38,21.12
p,f,k,y,,k,n,d,u,4.96,4.13,5.89
p,x,s,n,c,,y,d,u,10.14,8.82,29.97
p,p,g,n,,y,w,d,a,8.28,8.03,13.89
e,f,h,k,,s,g,d,a,6.28,4.73,9.24
e,x,y,g,,,w,d,u,5.35,4.45,6.41
p,f,,n,,,p,d,u,3.42,7.04,3.29
p,b,y,n,s,s,w,d,a,3.87,5.93,4.35
e,f,y,w,,s,w,d,u,10.52,16.36,12.66
e,x,e,g,s,,w,d,a,11.4,6.28,20.6
e,x,t,n,,,n,d,a,9.59,8.82,17.97
e,s,d,o,,,w,m,a,7.89,7.53,14.18
p,x,g,n,,s,k,d,w,0.85,4.15,0.98
e,f,t,o,,i,o,d,a,7.5,8.98,12.65
e,f,s,u,,,w,d,a,8.41,4.38,16.06
p,b,y,w,,,w,d,a,7.62,13.8,16.78
p,o,,e,,g,n,d,s,10.0,3.68,27.56
p,f,,g,,,w,d,a,12.54,11.23,15.14
p,x,t,e,b,,w,d,u,7.17,5.25,17.49
p,x,g,n,,s,k,d,s,0.65,3.87,0.98
e,f,w,y,,,y,d,u,2.93,2.13,9.38
e,x,s,w,,,w,m,w,4.18,4.03,6.53
e,f,s,n,,s,n,l,a,5.56,7.57,10.18
p,b,g,o,,,n,m,a,2.05,5.63,2.99
p,x,g,n,,s,n,d,a,1.71,2.19,2.46
p,b,h,n,,t,n,h,s,1.67,4.85,1.69
p,o,,w,,g,w,p,a,3.84,4.66,24.79
p,x,y,o,,,o,m,a,3.02,3.23,5.6
p,o,,e,,g,n,d,s,9.7,2.73,22.07
e,f,h,n,,k,n,d,a,4.39,4.61,5.9
p,o,t,w,f,f,f,d,u,4.21,0.0,0.0
e,x,s,e,,i,n,d,w,7.63,9.07,15.28
e,f,,e,,s,w,d,a,6.35,7.54,17.17
e,f,w,g,,,w,g,s,1.38,5.0,2.45
p,x,h,r,,y,w,d,u,3.85,6.01,7.82
p,o,k,n,,,n,d,u,1.73,4.37,1.55
p,x,,y,,i,y,d,a,5.15,5.74,12.73
p,x,i,n,s,,n,d,a,8.62,9.85,16.18
e,x,g,n,,t,y,g,u,1.64,6.06,1.94
p,o,,k,,g,n,d,u,2.7,2.98,14.74
p,x,s,w,,i,n,d,u,12.22,7.49,18.03
e,x,,y,b,,y,d,u,6.46,6.06,13.01
p,s,k,y,,k,n,d,u,4.39,3.05,4.68
e,f,,y,,,g,d,u,5.72,6.03,14.72
e,x,,n,b,,n,g,a,5.74,8.64,10.2
e,x,h,p,,,e,m,u,3.62,4.71,6.49
e,x,s,n,,,n,d,a,9.58,8.33,17.79
e,x,y,n,,,w,w,a,4.15,3.7,11.74
p,f,w,o,,,n,d,u,3.17,3.51,6.0
e,f,e,b,,,w,d,a,8.36,4.68,18.09
p,s,,o,,,w,d,u,7.56,4.44,11.87
p,s,t,n,,,y,d,a,7.03,6.59,16.94
e,x,,n,,s,w,d,u,7.53,7.75,15.88
p,x,e,n,c,,y,d,u,13.25,9.54,29.52
p,o,s,r,f,f,f,d,w,4.74,0.0,0.0
e,x,h,n,,s,w,d,a,3.44,5.76,6.74
e,o,,n,,,n,d,s,6.05,5.9,21.01
p,b,h,n,,,w,g,u,4.38,9.88,6.05
p,f,,w,r,i,w,d,u,7.56,9.38,9.18
p,x,i,l,,,w,g,a,2.32,5.13,2.71
p,o,l,g,f,f,f,d,a,2.55,0.0,0.0
e,f,s,w,,,w,g,u,6.75,4.72,12.38
p,f,t,n,,,n,d,a,10.75,6.04,14.18
p,x,y,y,,y,y,g,a,3.56,6.01,3.56
e,x,s,r,,,p,d,a,9.59,5.79,22.48
p,s,d,w,,h,w,g,a,2.54,2.78,2.25
p,f,t,n,r,g,n,d,u,7.82,15.1,8.06
p,x,s,o,,,o,m,a,3.13,3.09,5.94
e,b,g,g,,s,n,d,s,3.83,3.96,2.7
e,x,h,n,,y,n,d,w,5.97,5.94,6.11
p,x,h,n,,y,n,d,a,4.15,4.4,7.13
p,x,g,y,,,w,d,u,0.76,3.54,0.79
e,x,g,y,,t,y,g,u,1.18,5.82,1.49
e,c,g,n,,,g,d,a,1.55,4.48,1.52
e,x,y,e,b,,n,d,w,10.83,8.61,25.49
e,p,y,w,s,,n,m,u,17.8,22.34,19.34
e,x,,y,,,g,d,u,7.81,6.73,16.72
e,x,d,n,,,y,d,a,4.55,5.43,11.17
p,x,h,y,,g,o,g,u,4.72,6.35,7.96
p,o,l,g,f,f,f,d,u,2.61,0.0,0.0
e,x,t,n,,s,n,d,a,4.92,6.31,11.04
p,b,k,n,,i,y,d,u,6.21,5.0,6.06
p,f,w,p,,,p,d,a,8.7,4.94,10.9
e,x,y,n,,y,n,d,u,6.33,5.75,9.95
e,f,g,e,,,n,h,u,0.86,4.92,0.97
e,x,,w,,,r,l,u,4.8,5.46,7.73
p,x,k,n,,,n,d,s,1.62,4.96,1.93
p,s,d,y,,,y,d,a,6.23,3.64,6.31
p,x,,g,s,,u,d,a,9.67,9.8,21.09
p,f,t,y,,t,r,m,u,2.63,4.93,5.93
p,x,i,o,r,,y,d,w,11.42,8.62,21.97
e,f,,n,b,,w,d,u,11.58,13.1,21.19
p,x,e,n,s,,n,d,a,8.54,11.13,15.23
p,b,k,n,,i,y,d,a,5.8,4.61,5.92
p,x,t,n,,,w,d,u,3.47,5.5,8.32
p,x,h,e,r,g,n,d,a,6.32,13.75,6.94
e,x,g,e,,,n,d,a,1.36,5.38,0.97
e,x,i,n,,y,w,l,a,11.07,9.15,17.64
p,x,t,n,,y,n,d,a,7.25,5.83,7.71
e,c,g,n,,,g,l,u,1.69,5.52,1.72
p,x,k,n,,,n,d,u,1.65,5.29,1.69
p,x,i,k,,,w,g,a,2.37,4.52,2.73
e,x,,w,b,,w,d,u,6.21,6.06,11.7
e,s,t,p,,,w,d,u,9.44,5.61,17.3
e,f,s,n,b,i,n,m,u,5.43,4.52,8.43
p,x,,n,b,,n,l,a,5.67,5.22,9.07
p,p,t,n,,t,y,m,a,2.08,8.47,2.61
e,s,,w,,,w,d,a,11.28,6.41,25.95
e,f,,w,,,w,d,w,10.57,2.65,16.82
p,x,,o,,,o,g,a,0.55,4.29,0.97
e,x,t,n,,s,n,d,w,4.0,5.6,5.02
e,x,s,e,,i,n,d,w,12.04,10.44,15.0
p,x,t,n,,y,n,d,w,6.43,5.92,7.23
e,x,d,y,,,y,d,u,6.54,7.13,16.3
p,x,k,n,,,n,d,a,1.23,3.49,1.26
e,p,g,w,,,w,d,w,0.81,3.41,1.66
e,x,t,y,,,w,d,a,6.92,7.75,16.23
e,x,h,y,,,y,d,a,8.43,7.79,15.15
p,b,,n,,s,g,d,a,2.18,4.77,2.06
e,x,,u,,,w,d,w,2.56,6.33,4.74
e,f,d,n,,,g,d,u,3.26,4.28,5.38
e,f,g,g,,s,n,d,w,4.68,6.2,3.64
e,x,s,n,s,,w,m,a,8.11,9.02,18.26
p,f,s,w,,,w,g,u,3.25,2.97,7.34
e,x,d,p,,,o,g,u,3.38,4.45,6.56
p,s,s,w,,,w,g,u,2.47,2.84,6.26
e,f,,w,,,w,d,w,10.95,2.28,12.28
e,c,,n,,,n,d,s,4.19,4.22,19.02
p,b,g,y,,,n,g,u,2.27,6.41,3.21
p,f,k,w,,,w,d,u,15.32,4.78,23.54
p,x,g,w,,,e,l,a,1.07,2.46,1.31
p,x,s,y,,,y,d,w,4.98,5.84,6.54
p,f,y,y,,y,e,d,a,7.9,7.23,18.49
e,x,e,n,,,w,d,u,14.82,10.03,17.8
p,x,w,p,,,p,d,w,6.73,4.56,10.08
p,o,l,g,f,f,f,d,w,3.34,0.0,0.0
e,p,d,o,s,y,w,d,u,18.28,16.17,34.79
p,o,k,o,,,y,d,w,7.88,1.44,13.87
p,f,y,u,,y,u,d,a,8.06,6.2,18.42
e,p,i,n,,y,w,d,a,9.64,8.49,15.33
p,b,y,n,,s,w,d,w,7.09,12.94,13.58
p,c,i,y,,,w,d,u,4.88,6.67,8.44
p,f,,y,,i,y,d,a,5.79,4.59,9.9
e,b,g,g,,,w,d,a,0.9,3.45,1.74
e,x,s,y,,i,n,d,u,10.11,8.45,14.99
e,p,s,w,s,,w,m,a,14.57,8.31,17.67
p,x,g,n,,,n,d,a,2.91,9.47,2.89
e,x,,w,b,,w,g,u,4.9,7.95,8.83
e,o,y,y,,k,n,d,s,54.64,6.19,41.67
e,x,g,e,,,n,h,u,1.19,5.69,0.99
e,c,g,n,,,g,d,u,1.46,4.89,1.45
e,x,s,e,,i,n,d,w,10.96,8.55,14.72
p,x,h,o,,y,n,d,w,4.09,5.65,7.36
e,x,,y,,,w,d,a,3.21,3.62,8.19
p,x,w,p,,,p,d,a,8.21,4.42,10.1
e,f,g,n,,s,g,d,a,3.59,4.13,3.09
p,x,,g,s,,n,d,a,8.59,9.12,19.66
e,x,e,l,,,w,d,u,11.07,7.78,23.25
e,x,s,n,,i,w,d,a,8.79,6.68,9.8
e,f,t,n,,t,o,d,a,3.66,6.0,8.18
p,f,y,e,,y,y,d,a,8.35,6.93,22.14
p,f,,n,,,w,d,u,13.71,11.15,16.6
p,f,s,o,,,n,d,a,19.67,6.82,50.55
p,x,e,e,,,e,d,a,6.01,8.48,10.06
e,f,s,n,b,i,n,l,u,6.64,5.69,9.44
p,x,e,e,,,y,d,a,6.18,7.63,9.25
e,f,i,n,,,w,w,a,6.26,5.21,13.62
p,x,i,y,,i,n,d,u,8.28,8.16,8.08
p,f,k,n,,,n,g,a,4.37,4.54,3.57
p,c,e,w,,,w,g,a,4.84,5.94,12.29
e,x,,g,,y,w,d,u,7.88,12.91,25.87
e,f,s,w,s,,w,m,a,12.03,8.23,17.01
p,f,l,e,,,y,l,u,3.08,3.16,4.29
e,f,,y,,,w,d,u,5.8,5.93,16.26
p,f,d,b,b,s,n,d,a,3.34,4.54,3.31
p,o,k,n,,,n,d,w,1.56,2.97,1.45
p,s,k,w,,,w,d,w,20.55,7.52,30.81
e,x,s,w,s,,w,m,u,7.89,10.61,16.93
p,b,y,n,s,s,w,d,u,3.49,6.55,4.7
e,f,s,w,,,w,m,a,6.08,4.48,11.66
p,f,s,w,,,w,g,a,2.92,3.07,7.11
p,f,s,w,,,w,g,u,2.82,2.89,6.55
e,b,y,n,,,w,d,s,2.95,6.53,2.79
p,s,d,y,,,y,h,u,6.37,4.08,7.27
p,s,,n,,,e,d,u,3.69,5.45,5.37
e,x,s,w,,,w,g,w,3.06,3.77,5.24
e,f,s,n,b,i,n,m,u,6.34,5.54,8.77
p,x,y,n,,y,n,g,a,3.47,5.47,3.51
p,f,s,g,,,w,g,u,3.75,3.31,8.7
p,x,,n,,s,n,g,a,1.33,5.12,2.42
e,s,,n,,s,w,h,u,6.35,4.64,8.57
e,x,,n,b,,w,d,u,10.82,11.46,17.71
p,x,e,o,r,,o,d,a,8.5,9.14,20.61
e,f,e,b,,,w,d,a,8.66,4.76,18.8
p,x,t,e,b,,w,d,a,6.52,5.35,17.11
p,x,y,n,,y,n,d,u,7.12,9.77,9.52
p,x,,n,c,,n,d,a,11.21,9.56,29.99
e,s,t,k,,,w,d,u,13.55,8.53,24.82
e,x,,y,,,w,d,a,4.53,3.63,7.92
e,x,h,n,,s,n,d,u,7.98,7.21,12.4
p,f,,n,b,,n,l,w,6.32,5.5,10.11
p,s,,o,,,w,d,u,9.09,5.34,12.96
e,s,,w,,,w,d,u,11.23,6.03,24.54
p,b,y,n,s,s,w,d,u,3.02,5.47,4.59
p,x,s,o,,,y,m,a,2.22,2.52,5.54
e,x,g,n,,t,y,h,a,1.43,5.83,1.72
e,f,e,b,,,w,d,a,10.73,5.25,21.68
e,x,l,w,,,w,d,a,6.74,3.42,8.66
p,b,g,n,,,n,m,s,1.44,4.53,2.39
e,s,,n,,,n,d,a,10.22,5.97,23.69
p,s,k,n,,k,n,d,u,17.61,5.74,37.53
p,x,i,e,,,e,d,a,2.15,4.42,5.2
p,b,y,n,s,s,w,d,a,3.34,5.1,4.4
p,f,s,n,,k,n,d,u,12.62,4.66,23.16
p,s,k,n,,k,k,d,u,18.91,7.03,41.9
e,x,,n,,y,w,d,a,7.63,12.63,24.63
p,x,t,e,b,,w,d,a,6.44,6.91,18.28
p,s,,n,,,n,d,u,4.01,5.18,5.18
e,p,d,e,s,y,w,d,a,19.17,15.12,34.51
e,f,s,w,,,w,m,s,8.68,5.57,29.03
e,f,d,n,,,g,d,u,4.04,4.1,6.2
p,x,s,y,,,y,d,s,2.56,7.44,6.64
e,s,t,o,,,w,d,u,11.0,5.35,18.55
p,b,t,n,,,n,g,u,0.81,3.31,2.38
p,b,y,l,,y,l,d,a,4.64,5.97,6.93
e,x,d,e,s,y,w,d,a,21.81,17.3,36.33
p,s,s,y,,,y,d,u,1.31,3.32,5.08
e,f,w,y,,,y,d,u,7.44,5.66,16.88
e,f,y,w,,s,w,d,s,12.25,23.33,12.77
p,x,t,r,,,n,h,a,10.69,5.93,15.53
p,s,t,p,,,p,d,u,6.89,6.84,11.15
e,f,s,y,,,p,d,w,11.93,8.77,23.31
e,f,s,y,,i,n,d,a,8.84,8.7,15.31
e,x,s,n,,,n,d,a,8.79,9.13,18.13
p,s,s,n,,k,k,d,u,16.63,5.11,32.85
p,b,w,r,,t,y,d,u,2.57,4.47,4.92
e,x,e,l,,,w,d,a,10.46,8.41,26.07
p,f,,n,,,p,d,a,4.29,9.3,4.88
p,f,y,u,,y,e,d,a,6.09,4.79,15.06
p,x,h,r,,,w,d,a,8.42,11.0,14.94
e,x,t,n,,,n,d,a,4.44,5.15,12.62
e,x,d,y,,,y,d,a,8.74,8.43,16.71
e,x,,n,b,,w,d,a,4.65,8.27,8.79
e,x,s,n,,i,w,d,w,9.4,5.86,9.46
p,f,d,n,,,e,d,a,6.72,4.85,8.48
e,s,y,n,,i,n,h,a,2.99,5.49,2.92
e,f,e,b,,,w,d,a,8.48,4.27,16.48
e,x,,g,,y,w,d,u,7.41,11.98,24.13
p,x,h,e,s,y,w,d,w,13.43,17.1,17.25
e,o,l,n,,,n,d,a,4.71,6.01,49.57
p,x,y,n,,y,y,d,a,9.09,10.72,10.23
p,p,t,n,,t,y,m,a,1.99,6.81,2.45
e,x,,w,b,,w,d,u,6.29,6.05,13.37
p,f,l,y,,,y,l,u,5.59,7.51,5.86
p,x,y,w,s,,w,d,u,7.53,9.05,15.53
e,b,g,g,,,w,d,s,1.14,3.29,1.54
e,x,y,n,,,w,d,u,13.48,9.39,17.21
p,p,y,w,,,w,d,a,8.88,19.23,19.34
e,p,,g,,,g,d,u,7.44,6.97,12.8
p,x,,n,b,,n,d,a,7.25,6.19,11.24
p,x,g,o,s,y,w,d,a,16.62,18.54,18.01
